source_file,type,structure,order,best_fit,p_value,n_samples,fit_params,
c_fixed_time_results.csv,q12,CASCADE,2,brak dopasowania,4.646582211986694e-67,300,,
c_fixed_time_results.csv,q12,CASCADE,4,brak dopasowania,0.002085362207173546,300,,
c_fixed_time_results.csv,q12,CASCADE,6,brak dopasowania,6.395555963737141e-38,300,,
c_fixed_time_results.csv,q12,CASCADE,8,brak dopasowania,1.145784959508938e-36,300,,
c_fixed_time_results.csv,q12,DF1,2,brak dopasowania,4.299273736646905e-46,300,,
c_fixed_time_results.csv,q12,DF1,4,brak dopasowania,0.00047864773656394684,300,,
c_fixed_time_results.csv,q12,DF1,6,brak dopasowania,4.615741544862103e-15,300,,
c_fixed_time_results.csv,q12,DF1,8,brak dopasowania,1.2311136948746428e-12,300,,
c_fixed_time_results.csv,q12,DF2,2,weibull_min,0.0844136450044849,300,"c 1.163934, loc 0.122368, scale 0.003540",
c_fixed_time_results.csv,q12,DF2,4,brak dopasowania,8.37319740491907e-151,300,,
c_fixed_time_results.csv,q12,DF2,6,brak dopasowania,8.525474245651553e-07,300,,
c_fixed_time_results.csv,q12,DF2,8,weibull_min,0.05448113175277913,300,"c 1.957634, loc 0.352162, scale 0.019049",
c_fixed_time_results.csv,q12,TDF2,2,brak dopasowania,6.635602002791686e-20,300,,
c_fixed_time_results.csv,q12,TDF2,4,brak dopasowania,2.7670432984014045e-182,300,,
c_fixed_time_results.csv,q12,TDF2,6,brak dopasowania,8.969871944181424e-130,300,,
c_fixed_time_results.csv,q12,TDF2,8,brak dopasowania,7.936188539843371e-11,300,,
c_fixed_time_results.csv,q24,CASCADE,2,brak dopasowania,5.3012543048939507e-45,300,,
c_fixed_time_results.csv,q24,CASCADE,4,brak dopasowania,5.867501240035365e-19,300,,
c_fixed_time_results.csv,q24,CASCADE,6,brak dopasowania,2.374727216853847e-21,300,,
c_fixed_time_results.csv,q24,CASCADE,8,brak dopasowania,3.434635500405679e-11,300,,
c_fixed_time_results.csv,q24,DF1,2,brak dopasowania,2.44660239935288e-07,300,,
c_fixed_time_results.csv,q24,DF1,4,brak dopasowania,3.431393009406943e-13,300,,
c_fixed_time_results.csv,q24,DF1,6,brak dopasowania,7.041362273785559e-24,300,,
c_fixed_time_results.csv,q24,DF1,8,brak dopasowania,3.257226339393589e-54,300,,
c_fixed_time_results.csv,q24,DF2,2,brak dopasowania,2.802470240677638e-07,300,,
c_fixed_time_results.csv,q24,DF2,4,brak dopasowania,1.1390753734588805e-12,300,,
c_fixed_time_results.csv,q24,DF2,6,brak dopasowania,2.7503894222265798e-84,300,,
c_fixed_time_results.csv,q24,DF2,8,brak dopasowania,0.001186428957319533,300,,
c_fixed_time_results.csv,q24,TDF2,2,brak dopasowania,0.0006475938013531809,300,,
c_fixed_time_results.csv,q24,TDF2,4,brak dopasowania,7.946692389581986e-12,300,,
c_fixed_time_results.csv,q24,TDF2,6,brak dopasowania,3.7843952278492335e-72,300,,
c_fixed_time_results.csv,q24,TDF2,8,brak dopasowania,1.1284113543117504e-61,300,,
c_floating_time_results.csv,double,CASCADE,2,brak dopasowania,0.002018014994911279,300,,
c_floating_time_results.csv,double,CASCADE,4,weibull_min,0.09596426008339631,300,"c 1.903917, loc 0.042384, scale 0.001443",
c_floating_time_results.csv,double,CASCADE,6,weibull_min,0.6648806893378003,300,"c 2.151354, loc 0.059653, scale 0.001319",
c_floating_time_results.csv,double,CASCADE,8,brak dopasowania,0.0011055024443261115,300,,
c_floating_time_results.csv,double,DF1,2,brak dopasowania,1.3821378792817722e-28,300,,
c_floating_time_results.csv,double,DF1,4,brak dopasowania,5.8895248625332755e-21,300,,
c_floating_time_results.csv,double,DF1,6,brak dopasowania,4.213177082663052e-88,300,,
c_floating_time_results.csv,double,DF1,8,brak dopasowania,2.5965747147789673e-06,300,,
c_floating_time_results.csv,double,DF2,2,brak dopasowania,6.089193249338655e-57,300,,
c_floating_time_results.csv,double,DF2,4,brak dopasowania,1.6704711214124833e-39,300,,
c_floating_time_results.csv,double,DF2,6,brak dopasowania,4.23189303069591e-30,300,,
c_floating_time_results.csv,double,DF2,8,brak dopasowania,1.4569545017113754e-180,300,,
c_floating_time_results.csv,double,TDF2,2,brak dopasowania,2.066570481066873e-64,300,,
c_floating_time_results.csv,double,TDF2,4,brak dopasowania,4.696615040239184e-41,300,,
c_floating_time_results.csv,double,TDF2,6,brak dopasowania,6.073503692575783e-49,300,,
c_floating_time_results.csv,double,TDF2,8,brak dopasowania,2.3968500173121276e-17,300,,
c_floating_time_results.csv,float,CASCADE,2,brak dopasowania,0.0002822897795069754,300,,
c_floating_time_results.csv,float,CASCADE,4,weibull_min,0.012936313639773758,300,"c 1.942545, loc 0.041523, scale 0.001232",
c_floating_time_results.csv,float,CASCADE,6,weibull_min,0.14213821537524496,300,"c 1.945324, loc 0.058897, scale 0.001195",
c_floating_time_results.csv,float,CASCADE,8,weibull_min,0.9518067149871652,300,"c 2.191074, loc 0.076304, scale 0.001014",
c_floating_time_results.csv,float,DF1,2,brak dopasowania,3.534150188897171e-09,300,,
c_floating_time_results.csv,float,DF1,4,brak dopasowania,1.2054518990438742e-07,300,,
c_floating_time_results.csv,float,DF1,6,brak dopasowania,4.640556810583496e-13,300,,
c_floating_time_results.csv,float,DF1,8,brak dopasowania,4.038638952546223e-09,300,,
c_floating_time_results.csv,float,DF2,2,brak dopasowania,1.1240246353895257e-99,300,,
c_floating_time_results.csv,float,DF2,4,brak dopasowania,3.254758383923829e-14,300,,
c_floating_time_results.csv,float,DF2,6,brak dopasowania,1.463397029001643e-92,300,,
c_floating_time_results.csv,float,DF2,8,brak dopasowania,5.400703680784815e-10,300,,
c_floating_time_results.csv,float,TDF2,2,brak dopasowania,1.9562481769137778e-88,300,,
c_floating_time_results.csv,float,TDF2,4,brak dopasowania,1.0057156852775597e-88,300,,
c_floating_time_results.csv,float,TDF2,6,brak dopasowania,1.928249126711021e-43,300,,
c_floating_time_results.csv,float,TDF2,8,brak dopasowania,1.037823129454048e-57,300,,
java_time_results.csv,double,CASCADE,2,brak dopasowania,1.2152249553816097e-07,300,,
java_time_results.csv,double,CASCADE,4,brak dopasowania,0.005274320488083312,300,,
java_time_results.csv,double,CASCADE,6,brak dopasowania,4.2272919901932223e-07,300,,
java_time_results.csv,double,CASCADE,8,brak dopasowania,1.9680737702911658e-57,300,,
java_time_results.csv,double,DF1,2,brak dopasowania,0.0037754680717563844,300,,
java_time_results.csv,double,DF1,4,brak dopasowania,9.247955732327245e-32,300,,
java_time_results.csv,double,DF1,6,brak dopasowania,2.196488823699855e-16,300,,
java_time_results.csv,double,DF1,8,brak dopasowania,2.3822404462807853e-06,300,,
java_time_results.csv,double,DF2,2,brak dopasowania,3.51656494707903e-232,300,,
java_time_results.csv,double,DF2,4,brak dopasowania,6.883607177781052e-25,300,,
java_time_results.csv,double,DF2,6,brak dopasowania,0.0003702130298620463,300,,
java_time_results.csv,double,DF2,8,brak dopasowania,3.6273647499138947e-57,300,,
java_time_results.csv,double,TDF2,2,brak dopasowania,1.6248305194173662e-217,300,,
java_time_results.csv,double,TDF2,4,brak dopasowania,5.963130026871463e-211,300,,
java_time_results.csv,double,TDF2,6,brak dopasowania,1.1939619276764515e-13,300,,
java_time_results.csv,double,TDF2,8,brak dopasowania,8.633079977044082e-37,300,,
java_time_results.csv,float,CASCADE,2,brak dopasowania,2.062200250529363e-165,300,,
java_time_results.csv,float,CASCADE,4,brak dopasowania,3.876470823779628e-201,300,,
java_time_results.csv,float,CASCADE,6,brak dopasowania,6.322111950447115e-31,300,,
java_time_results.csv,float,CASCADE,8,brak dopasowania,3.789646937815338e-71,300,,
java_time_results.csv,float,DF1,2,brak dopasowania,4.455337849637687e-13,300,,
java_time_results.csv,float,DF1,4,brak dopasowania,1.4594971132711698e-05,300,,
java_time_results.csv,float,DF1,6,brak dopasowania,6.69829862951749e-74,300,,
java_time_results.csv,float,DF1,8,brak dopasowania,2.88256718763928e-87,300,,
java_time_results.csv,float,DF2,2,brak dopasowania,3.685505025963427e-82,300,,
java_time_results.csv,float,DF2,4,brak dopasowania,1.7157247358617607e-17,300,,
java_time_results.csv,float,DF2,6,brak dopasowania,3.916622239634334e-51,300,,
java_time_results.csv,float,DF2,8,brak dopasowania,2.4727460001319007e-46,300,,
java_time_results.csv,float,TDF2,2,brak dopasowania,3.9613377008121725e-225,300,,
java_time_results.csv,float,TDF2,4,brak dopasowania,4.170231536526567e-279,300,,
java_time_results.csv,float,TDF2,6,brak dopasowania,0.00014748332599042474,300,,
java_time_results.csv,float,TDF2,8,brak dopasowania,5.153116839209929e-36,300,,
python_time_results.csv,float16,CASCADE,2,brak dopasowania,1.2424437091439799e-120,300,,
python_time_results.csv,float16,CASCADE,4,brak dopasowania,8.63000558393186e-59,300,,
python_time_results.csv,float16,CASCADE,6,brak dopasowania,2.2369037628270104e-51,300,,
python_time_results.csv,float16,CASCADE,8,weibull_min,0.30155975016868597,240,"c 1.385333, loc 18.917133, scale 0.383992",
python_time_results.csv,float16,DF1,2,brak dopasowania,9.973355971458263e-16,300,,
python_time_results.csv,float16,DF1,4,brak dopasowania,0.0003633734928017532,300,,
python_time_results.csv,float16,DF1,6,brak dopasowania,1.507037524370075e-08,300,,
python_time_results.csv,float16,DF1,8,brak dopasowania,0.00708846012876043,240,,
python_time_results.csv,float16,DF2,2,brak dopasowania,0.00010593047150965163,300,,
python_time_results.csv,float16,DF2,4,brak dopasowania,3.4137806043525896e-66,300,,
python_time_results.csv,float16,DF2,6,brak dopasowania,0.007562103786247293,300,,
python_time_results.csv,float16,DF2,8,weibull_min,0.08301246720713562,240,"c 1.818446, loc 19.329336, scale 0.580130",
python_time_results.csv,float16,TDF2,2,weibull_min,0.262181225711714,300,"c 2.242563, loc 3.919131, scale 0.133563",
python_time_results.csv,float16,TDF2,4,brak dopasowania,0.0004974682765085417,300,,
python_time_results.csv,float16,TDF2,6,brak dopasowania,4.889975187303648e-10,300,,
python_time_results.csv,float16,TDF2,8,brak dopasowania,0.0021102646180353635,240,,
python_time_results.csv,float32,CASCADE,2,brak dopasowania,1.8123859265032242e-19,300,,
python_time_results.csv,float32,CASCADE,4,weibull_min,0.05245246565689188,300,"c 1.977822, loc 9.249857, scale 0.177829",
python_time_results.csv,float32,CASCADE,6,brak dopasowania,3.3619294747224895e-113,300,,
python_time_results.csv,float32,CASCADE,8,weibull_min,0.027952838490078125,240,"c 2.073047, loc 18.447842, scale 0.382044",
python_time_results.csv,float32,DF1,2,brak dopasowania,1.4908669466406443e-87,300,,
python_time_results.csv,float32,DF1,4,weibull_min,0.06529488021037066,300,"c 1.839820, loc 10.108099, scale 0.183155",
python_time_results.csv,float32,DF1,6,brak dopasowania,3.4306079632021866e-32,300,,
python_time_results.csv,float32,DF1,8,brak dopasowania,2.0373250690135716e-76,245,,
python_time_results.csv,float32,DF2,2,brak dopasowania,8.765657707514008e-122,300,,
python_time_results.csv,float32,DF2,4,weibull_min,0.47544847339579954,300,"c 1.811060, loc 10.856177, scale 0.207321",
python_time_results.csv,float32,DF2,6,brak dopasowania,2.595164475098846e-40,300,,
python_time_results.csv,float32,DF2,8,weibull_min,0.05390119255162584,240,"c 1.946252, loc 19.178284, scale 0.387882",
python_time_results.csv,float32,TDF2,2,brak dopasowania,7.310550696293668e-13,300,,
python_time_results.csv,float32,TDF2,4,weibull_min,0.3084577061689566,300,"c 1.639982, loc 6.630072, scale 0.124318",
python_time_results.csv,float32,TDF2,6,brak dopasowania,1.0719851681367394e-48,300,,
python_time_results.csv,float32,TDF2,8,weibull_min,0.2878808496048234,240,"c 1.350909, loc 11.950624, scale 0.215834",
python_time_results.csv,float64,CASCADE,2,weibull_min,0.029936885468608065,300,"c 2.047780, loc 3.204521, scale 0.107623",
python_time_results.csv,float64,CASCADE,4,brak dopasowania,1.1414590328203475e-161,300,,
python_time_results.csv,float64,CASCADE,6,weibull_min,0.22120424057025823,300,"c 2.013835, loc 9.674093, scale 0.235058",
python_time_results.csv,float64,CASCADE,8,brak dopasowania,6.6755243252463095e-87,260,,
python_time_results.csv,float64,DF1,2,brak dopasowania,8.401303875223987e-16,300,,
python_time_results.csv,float64,DF1,4,weibull_min,0.17472969036587038,300,"c 2.090509, loc 8.663801, scale 0.175252",
python_time_results.csv,float64,DF1,6,brak dopasowania,1.8788134101812187e-50,300,,
python_time_results.csv,float64,DF1,8,weibull_min,0.3117590727769609,260,"c 1.807087, loc 15.434095, scale 0.242404",
python_time_results.csv,float64,DF2,2,weibull_min,0.6229889998305103,300,"c 1.971307, loc 5.540323, scale 0.154136",
python_time_results.csv,float64,DF2,4,weibull_min,0.19286830826122203,300,"c 2.022968, loc 8.944919, scale 0.179326",
python_time_results.csv,float64,DF2,6,weibull_min,0.2113253044593868,300,"c 1.609578, loc 12.335200, scale 0.249184",
python_time_results.csv,float64,DF2,8,weibull_min,0.5489172291987244,260,"c 1.922788, loc 15.714451, scale 0.242538",
python_time_results.csv,float64,TDF2,2,weibull_min,0.11020756271849919,300,"c 1.644290, loc 2.907318, scale 0.082708",
python_time_results.csv,float64,TDF2,4,brak dopasowania,7.6052377836473915e-87,300,,
python_time_results.csv,float64,TDF2,6,weibull_min,0.22413530298172102,300,"c 1.315049, loc 6.932762, scale 0.144882",
python_time_results.csv,float64,TDF2,8,weibull_min,0.1433433683089821,260,"c 2.086580, loc 8.916147, scale 0.178401",
